ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},"Sant Cugat Theater csv names ""Etiqueta del Punto"""
90,De-centralized data,Heat setpoint CLIMA 2,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_2_Cocktail_bar,Heat_setpoint_CLIMA_2_Cocktail_bar,CSG.CAL.T.CL.2
91,De-centralized data,Cold setpoint CLIMA 2,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_2_Cocktail_bar,Cold_setpoint_CLIMA_2_Cocktail_bar,CSG.FRIO.T.CL.2
92,De-centralized data,Heat setpoint CLIMA 3,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_3_HALL,Heat_setpoint_CLIMA_3_HALL,CSG.CAL.T.CL.3
93,De-centralized data,Cold setpoint CLIMA 3,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_3_HALL,Cold_setpoint_CLIMA_3_HALL,CSG.FRIO.T.CL.3
94,De-centralized data,Heat setpoint CLIMA 4,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_4_Amphitheater,Heat_setpoint_CLIMA_4_Amphitheater,CSG.CAL.T.CL.4
95,De-centralized data,Cold setpoint CLIMA 4,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_4_Amphitheater,Cold_setpoint_CLIMA_4_Amphitheater,CSG.FRIO.T.CL.4
96,De-centralized data,Heat setpoint CLIMA 5,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_5_Control_Booths,Heat_setpoint_CLIMA_5_Control_Booths,CSG.CAL.T.CL.5
97,De-centralized data,Cold setpoint CLIMA 5,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_5_Control_Booths,Cold_setpoint_CLIMA_5_Control_Booths,CSG.FRIO.T.CL.5
98,De-centralized data,Heat setpoint CLIMA 6,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_6_Dressing_Room,Heat_setpoint_CLIMA_6_Dressing_Room,CSG.CAL.T.CL.6
99,De-centralized data,Cold setpoint CLIMA 6,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_6_Dressing_Room,Cold_setpoint_CLIMA_6_Dressing_Room,CSG.FRIO.T.CL.6
100,De-centralized data,Heat setpoint CLIMA 7,C,Sant Cugat - Theater,santcugat_theater_BMS_Heat_setpoint_CLIMA_7_Stage,Heat_setpoint_CLIMA_7_Stage,CSG.CAL.T.CL.7
101,De-centralized data,Cold setpoint CLIMA 7,C,Sant Cugat - Theater,santcugat_theater_BMS_Cold_setpoint_CLIMA_7_Stage,Cold_setpoint_CLIMA_7_Stage,CSG.FRIO.T.CL.7
102,De-centralized data,Low point room temperature,C,Sant Cugat - Theater,santcugat_theater_BMS_Low_point_room_temperature_Amphitheater,Low_point_room_temperature_Amphitheater,T.AMB.1
103,De-centralized data,Middle point room temperature,C,Sant Cugat - Theater,santcugat_theater_BMS_Middle_point_room_temperature_Amphitheater,Middle_point_room_temperature_Amphitheater,T.AMB.2
104,De-centralized data,Highest point room temperature,C,Sant Cugat - Theater,santcugat_theater_BMS_Highest_point_room_temperature_Amphitheater,Highest_point_room_temperature_Amphitheater,T.AMB.3
105,De-centralized data,Cold Pump distribution FAN COIL 1 Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_distribution_FAN_COIL_1_Status_Production,Cold_Pump_distribution_FAN_COIL_1_Status_Production,EST.B.FRIO.FCOILS.1
106,De-centralized data,Cold Pump distribution FAN COIL 2 Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_distribution_FAN_COIL_2_Status_Production,Cold_Pump_distribution_FAN_COIL_2_Status_Production,EST.B.FRIO.FCOILS.2
107,De-centralized data,Heat Pump distribution FAN COIL 1 Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_distribution_FAN_COIL_1_Status_Production,Heat_Pump_distribution_FAN_COIL_1_Status_Production,EST.B.CAL.FCOILS.1
108,De-centralized data,Heat Pump distribution FAN COIL 2 Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_distribution_FAN_COIL_2_Status_Production,Heat_Pump_distribution_FAN_COIL_2_Status_Production,EST.B.CAL.FCOILS.2
109,De-centralized data,Space Temperature Fan Coil,C,Sant Cugat - Theater,santcugat_theater_BMS_Space_Temperature_Fan_Coil_Booking_office_FC21,Space_Temperature_Fan_Coil_Booking_office_FC21,Space Temperature 
110,De-centralized data,Heating Demand Fan Coil,%,Sant Cugat - Theater,santcugat_theater_BMS_Heating_Demand_Fan_Coil_Booking_office_FC21,Heating_Demand_Fan_Coil_Booking_office_FC21,Heating Demand
111,De-centralized data,Cooling Demand Fan Coil,%,Sant Cugat - Theater,santcugat_theater_BMS_Cooling_Demand_Fan_Coil_Booking_office_FC21,Cooling_Demand_Fan_Coil_Booking_office_FC21,Cooling Demand
112,De-centralized data,Actual Fan Fan Coil (ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Actual_Fan_Fan_Coil_Booking_office_FC21,Actual_Fan_Fan_Coil_Booking_office_FC21,Actual Fan
113,De-centralized data,Thermical Unit Energy Fan Coil (Virtual),Kwh,Sant Cugat - Theater,santcugat_theater_BMS_Thermical_Unit_Energy_Fan_Coil_Booking_office_FC21,Thermical_Unit_Energy_Fan_Coil_Booking_office_FC21,Unit Energy
114,De-centralized data,Space Temperature Setpoint,C,Sant Cugat - Theater,santcugat_theater_BMS_Space_Temperature_Setpoint_Booking_office_FC21,Space_Temperature_Setpoint_Booking_office_FC21,Remote Temperature
115,De-centralized data,Space Temperature Fan Coil,C,Sant Cugat - Theater,santcugat_theater_BMS_Space_Temperature_Fan_Coil_Hall_Offices_FC22,Space_Temperature_Fan_Coil_Hall_Offices_FC22,Space Temperature
116,De-centralized data,Heating Demand Fan Coil,%,Sant Cugat - Theater,santcugat_theater_BMS_Heating_Demand_Fan_Coil_Hall_Offices_FC22,Heating_Demand_Fan_Coil_Hall_Offices_FC22,Heating Demand
117,De-centralized data,Cooling Demand Fan Coil,%,Sant Cugat - Theater,santcugat_theater_BMS_Cooling_Demand_Fan_Coil_Hall_Offices_FC22,Cooling_Demand_Fan_Coil_Hall_Offices_FC22,Cooling Demand
118,De-centralized data,Actual Fan Fan Coil (ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Actual_Fan_Fan_Coil_Hall_Offices_FC22,Actual_Fan_Fan_Coil_Hall_Offices_FC22,Actual Fan
119,De-centralized data,Thermical Unit Energy Fan Coil (Virtual),Kwh,Sant Cugat - Theater,santcugat_theater_BMS_Thermical_Unit_Energy_Fan_Coil_Hall_Offices_FC22,Thermical_Unit_Energy_Fan_Coil_Hall_Offices_FC22,Unit Energy
120,De-centralized data,Space Temperature Setpoint,C,Sant Cugat - Theater,santcugat_theater_BMS_Space_Temperature_Setpoint_Hall_Offices_FC22,Space_Temperature_Setpoint_Hall_Offices_FC22,Remote Temperature
121,De-centralized data,Space Temperature Fan Coil,C,Sant Cugat - Theater,santcugat_theater_BMS_Space_Temperature_Fan_Coil_Passage_ground_floor_FC24,Space_Temperature_Fan_Coil_Passage_ground_floor_FC24,Space Temperature
122,De-centralized data,Heating Demand Fan Coil,%,Sant Cugat - Theater,santcugat_theater_BMS_Heating_Demand_Fan_Coil_Passage_ground_floor_FC24,Heating_Demand_Fan_Coil_Passage_ground_floor_FC24,Heating Demand
123,De-centralized data,Cooling Demand Fan Coil,%,Sant Cugat - Theater,santcugat_theater_BMS_Cooling_Demand_Fan_Coil_Passage_ground_floor_FC24,Cooling_Demand_Fan_Coil_Passage_ground_floor_FC24,Cooling Demand
124,De-centralized data,Actual Fan Fan Coil (ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Actual_Fan_Fan_Coil_Passage_ground_floor_FC24,Actual_Fan_Fan_Coil_Passage_ground_floor_FC24,Actual Fan
125,De-centralized data,Thermical Unit Energy Fan Coil (Virtual),Kwh,Sant Cugat - Theater,santcugat_theater_BMS_Thermical_Unit_Energy_Fan_Coil_Passage_ground_floor_FC24,Thermical_Unit_Energy_Fan_Coil_Passage_ground_floor_FC24,Unit Energy
126,De-centralized data,Space Temperature Setpoint,C,Sant Cugat - Theater,santcugat_theater_BMS_Space_Temperature_Setpoint_Passage_ground_floor_FC24,Space_Temperature_Setpoint_Passage_ground_floor_FC24,Remote Temperature
127,De-centralized data,Space Temperature Fan Coil,C,Sant Cugat - Theater,santcugat_theater_BMS_Space_Temperature_Fan_Coil_Technical_Offices_FC25,Space_Temperature_Fan_Coil_Technical_Offices_FC25,Space Temperature
128,De-centralized data,Heating Demand Fan Coil,%,Sant Cugat - Theater,santcugat_theater_BMS_Heating_Demand_Fan_Coil_Technical_Offices_FC25,Heating_Demand_Fan_Coil_Technical_Offices_FC25,Heating Demand
129,De-centralized data,Cooling Demand Fan Coil,%,Sant Cugat - Theater,santcugat_theater_BMS_Cooling_Demand_Fan_Coil_Technical_Offices_FC25,Cooling_Demand_Fan_Coil_Technical_Offices_FC25,Cooling Demand
130,De-centralized data,Actual Fan Fan Coil,%,Sant Cugat - Theater,santcugat_theater_BMS_Actual_Fan_Fan_Coil_Technical_Offices_FC25,Actual_Fan_Fan_Coil_Technical_Offices_FC25,Actual Fan
131,De-centralized data,Unit Energy Fan Coil,Kwh,Sant Cugat - Theater,santcugat_theater_BMS_Unit_Energy_Fan_Coil_Technical_Offices_FC25,Unit_Energy_Fan_Coil_Technical_Offices_FC25,Unit Energy
132,De-centralized data,Space Temperature Setpoint,C,Sant Cugat - Theater,santcugat_theater_BMS_Space_Temperature_Setpoint_Technical_Offices_FC25,Space_Temperature_Setpoint_Technical_Offices_FC25,Remote Temperature
133,De-centralized data,Space Temperature Fan Coil,C,Sant Cugat - Theater,santcugat_theater_BMS_Space_Temperature_Fan_Coil_Office_FC26,Space_Temperature_Fan_Coil_Office_FC26,Space Temperature
134,De-centralized data,Heating Demand Fan Coil,%,Sant Cugat - Theater,santcugat_theater_BMS_Heating_Demand_Fan_Coil_Office_FC26,Heating_Demand_Fan_Coil_Office_FC26,Heating Demand
135,De-centralized data,Cooling Demand Fan Coil,%,Sant Cugat - Theater,santcugat_theater_BMS_Cooling_Demand_Fan_Coil_Office_FC26,Cooling_Demand_Fan_Coil_Office_FC26,Cooling Demand
136,De-centralized data,Actual Fan Fan Coil (ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Actual_Fan_Fan_Coil_Office_FC26,Actual_Fan_Fan_Coil_Office_FC26,Actual Fan
